Shot,FrameId
r_serve,30
r_forehand,98
r_backhand,171
r_forehand,313
r_forehand,445
r_forehand,513
r_backhand,821
r_forehand,896
r_backhand,977
r_forehand,1052
r_backhand,1127
r_backhand,1200
r_forehand,1406
r_backhand,1736
r_backhand,1823
r_forehand,1897
r_backhand,1972
r_forehand,2048
r_backhand,2119
r_forehand,2195
r_forehand,2283
r_serve,2424
r_forehand,2492
r_backhand,2555
r_forehand,2640
r_forehand,2727
r_forehand,2966
r_backhand,3042
r_forehand,3113
r_backhand,3190
r_backhand,3265
r_forehand,3335
r_serve,3426
r_backhand,3491
r_forehand,3636
r_backhand,3736
r_forehand,3811
r_backhand,3899
r_backhand,4030
r_backhand,4091
r_forehand,4164
r_forehand,4289
r_backhand,4388
r_backhand,4452
r_forehand,4528
r_forehand,4639
r_forehand,4738
r_backhand,4939
r_forehand,5017
r_backhand,5095
r_serve,5253
r_backhand,5321
r_backhand,5397
r_forehand,5481
r_forehand,5554
r_serve,5626
r_backhand,5686
r_backhand,5761
r_forehand,5860
r_forehand,6030
r_forehand,6181
r_backhand,6270
r_forehand,6349
r_forehand,6458
r_backhand,6712
r_forehand,6782
r_backhand,6858
r_backhand,6938
r_backhand,7076
r_backhand,7369
r_forehand,7434
r_backhand,7510
r_backhand,7671
r_backhand,7761
r_backhand,7977
r_backhand,8050
r_backhand,8262
r_serve,8398
r_forehand,8463
r_serve,8579
r_backhand,8641
r_backhand,8789
r_backhand,8940
r_backhand,9091
r_backhand,9247
r_backhand,9513
r_backhand,9719
r_backhand,9787
r_backhand,10258
r_serve,10393
r_forehand,10454
r_forehand,10537
r_backhand,10828
