Shot,FrameId
l_backhand,54
l_forehand,202
l_forehand,275
l_forehand,343
l_forehand,585
l_forehand,661
l_forehand,869
l_forehand,947
l_forehand,1017
l_forehand,1094
l_backhand,1567
l_backhand,1641
l_forehand,1713
l_forehand,1784
l_forehand,1869
l_forehand,2053
l_forehand,2149
l_forehand,2232
l_forehand,2371
l_backhand,2461
l_backhand,2544
l_forehand,2618
l_forehand,2696
l_forehand,2794
l_forehand,2877
l_backhand,2954
l_forehand,3028
l_forehand,3109
l_forehand,3365
l_backhand,3439
l_forehand,3513
l_backhand,3591
l_forehand,3673
l_forehand,3744
l_forehand,3814
l_forehand,3886
l_forehand,3959
l_backhand,4041
l_backhand,4115
l_backhand,4584
l_forehand,5055
l_forehand,5204
l_backhand,5761
l_forehand,6109
l_backhand,6704
l_backhand,6980
l_backhand,7057
l_backhand,7142
l_forehand,7236
l_backhand,7411
l_backhand,7498
l_backhand,7608
l_backhand,7728
l_backhand,8341
l_backhand,8444
l_forehand,8690
l_backhand,8973
l_backhand,9376
l_forehand,9465
l_backhand,9989
l_backhand,10171
l_forehand,10266
l_forehand,10359
l_forehand,10504
l_backhand,10607
l_forehand,10681
l_forehand,10748
l_forehand,10920
