Shot,FrameId
l_forehand,529
l_forehand,631
l_backhand,729
l_backhand,825
l_forehand,921
l_backhand,1020
l_backhand,1111
l_forehand,1250
l_forehand,1457
l_forehand,1560
l_backhand,1645
l_backhand,1729
l_backhand,1845
l_forehand,1938
l_forehand,2021
l_forehand,2101
l_backhand,2192
l_forehand,2276
l_backhand,2359
l_backhand,2445
l_forehand,2530
l_backhand,2606
l_backhand,2687
l_forehand,2813
l_forehand,2961
l_backhand,3047
l_backhand,3136
l_forehand,3226
l_forehand,4017
l_backhand,4093
l_backhand,4243
l_forehand,4327
l_backhand,4401
l_forehand,4568
l_forehand,4728
l_forehand,4803
l_forehand,4963
l_forehand,5133
l_forehand,5366
l_backhand,5592
l_forehand,5741
l_forehand,5946
l_backhand,6026
l_forehand,6114
l_backhand,6201
l_forehand,6283
l_backhand,6371
l_forehand,6729
l_forehand,6813
l_backhand,6898
l_forehand,6975
l_forehand,7042
l_forehand,7114
l_backhand,7199
l_forehand,7274
l_forehand,7348
l_forehand,7423
l_forehand,7611
l_forehand,8613
l_forehand,8707
l_forehand,8791
l_backhand,9023
l_forehand,9413
l_backhand,9486
l_backhand,9559
l_forehand,9638
l_forehand,9893
l_forehand,9978
l_forehand,10222
l_forehand,10538
l_forehand,10628
l_backhand,10702
l_backhand,10773
l_forehand,10858
l_forehand,11055
l_forehand,11206
l_backhand,11277
l_backhand,11348
l_forehand,12023
l_backhand,12095
l_forehand,12304
l_backhand,12373
l_forehand,12794
l_forehand,12875
l_forehand,12956
l_forehand,13041
l_forehand,13337
l_forehand,13406
l_forehand,13476
l_forehand,13549
l_forehand,13832
l_forehand,13912
l_backhand,14488
l_backhand,14554
l_forehand,14802
l_forehand,15124
l_forehand,15204
l_forehand,16532
l_backhand,16603
l_backhand,16675
l_forehand,16833
l_forehand,17007
l_forehand,17163
l_forehand,17237
l_forehand,17406
l_forehand,17522
l_forehand,17596
l_forehand,17678
l_forehand,18640
l_forehand,18806
l_forehand,18891
l_forehand,20107
l_forehand,20177
l_forehand,20265
l_backhand,20335
l_forehand,21017
l_forehand,21092
l_forehand,21172
l_forehand,21249
l_forehand,21498
l_forehand,21570
l_backhand,21657
l_forehand,21972
l_forehand,22050
l_forehand,22216
l_backhand,22422
l_forehand,22496
l_forehand,22667
l_backhand,22745
l_forehand,22817
l_backhand,22921
l_backhand,23004
l_forehand,23082
l_forehand,24257
l_backhand,24349
l_forehand,24425
l_forehand,24501
l_forehand,24574
l_forehand,24648
l_forehand,24863
l_backhand,24949
l_forehand,25026
l_forehand,25099
l_backhand,25169
l_forehand,25261
l_forehand,25341
l_forehand,25423
l_forehand,25958
l_forehand,26252
l_backhand,26334
l_forehand,26410
l_backhand,26482
l_forehand,27322
l_forehand,27460
l_forehand,27531
l_forehand,27624
l_forehand,27700
l_forehand,27773
l_forehand,27853
l_forehand,27932
l_forehand,28009
l_forehand,28086
l_forehand,28204
l_forehand,28881
l_backhand,29247
l_backhand,29326
l_forehand,29413
l_forehand,29499
l_forehand,29589
l_forehand,29848
l_forehand,29930
l_backhand,30028
l_forehand,30115
l_forehand,30189
l_backhand,30263
l_forehand,30338
l_forehand,30405
l_forehand,30492
l_forehand,30566
l_forehand,31062
l_forehand,31209
l_forehand,31277
l_forehand,31353
l_forehand,31420
l_backhand,31502
l_forehand,31592
l_forehand,32752
l_forehand,32831
l_forehand,33031
l_forehand,33107
l_forehand,33199
