Shot,FrameId
l_serve,44
l_forehand,112
l_serve,286
l_forehand,351
l_backhand,426
l_forehand,498
l_serve,588
l_serve,946
l_serve,1025
l_backhand,1084
l_forehand,1209
l_serve,1316
l_backhand,1446
l_backhand,1519
l_serve,1609
l_serve,1713
l_forehand,1780
l_backhand,1854
l_forehand,2017
l_forehand,2177
l_serve,2277
l_backhand,2583
l_forehand,2669
l_serve,2779
r_forehand,3027
r_backhand,3220
r_backhand,3295
r_backhand,3365
r_backhand,3442
l_backhand,3570
l_backhand,3572
l_serve,4042
l_backhand,4104
l_forehand,4168
l_serve,4253
l_serve,4482
l_forehand,4548
l_serve,4866
l_forehand,4930
l_forehand,5083
l_serve,5241
l_backhand,5303
l_backhand,5377
l_forehand,5458
l_serve,5573
l_forehand,5638
l_forehand,5802
l_forehand,5960
